"genotype" "clonalcolony" "identifier"
"FY4-5" "A7-110316" 96321
"FY4-5" "A7-110316" 96322
"FY4-5" "A7-110316" 96323
"FY4-5" "A7-110316" 96326
"FY4-5" "A7-110316" 96327
"FY4-5" "A7-110316" 96328
"FY4-5" "A7-110316" 96329
"FY4-5" "A7-110316" 96330
"FY4-5" "A7-110316" 96333
"FY4-5" "A7-110316" 96334
"FY4-5" "A7-110316" 96335
"FY4-5" "A7-110316" 96337
"FY4-5" "A7-110316" 96345
"FY4-5" "A7-110316" 96346
"FY4-5" "A7-110316" 96347
"FY4-5" "A7-110316" 96348
"FY4-5" "A7-110316" 96351
"FY4-5" "A7-110316" 96352
"FY4-5" "A7-110316" 96353
"FY4-5" "A7-110316" 96355
"FY4-5" "A7-110316" 96356
"FY4-5" "A7-110316" 96363
"FY4-5" "A7-110316" 96364
"FY4-5" "A7-110316" 96368
"FY4-5" "A7-110316" 96376
"FY4-5" "A7-110316" 96379
"FY4-5" "A7-110316" 96382
"FY4-5" "A7-110316" 96383
"FY4-5" "A7-110316" 96384
"FY4-5" "A7-110316" 96385
"FY4-5" "A7-110316" 96388
"FY4-5" "A7-110316" 96394
"FY4-5" "A7-110316" 96395
"FY4-5" "A7-110316" 96396
"FY4-5" "A7-110316" 96399
"FY4-5" "A7-110316" 96400
"FY4-5" "A7-110316" 96401
"FY4-5" "A7-110316" 96402
"FY4-5" "A7-110316" 96403
"FY4-5" "A7-110316" 96404
"FY4-5" "A7-110316" 96405
"FY4-5" "A7-110316" 96406
"FY4-5" "A7-110316" 96407
"FY4-5" "A7-110316" 96408
"FY4-5" "A7-110316" 96410
"FY4-5" "A7-110316" 96415
"FY4-5" "A7-110316" 96418
"FY4-5" "A7-110316" 96424
"FY4-5" "A7-110316" 96429
"FY4-5" "A7-110316" 96439
"FY4-5" "A7-110316" 96440
"FY4-5" "A7-110316" 96441
"FY4-5" "A7-110316" 96442
"FY4-5" "A7-110316" 96443
"FY4-5" "A7-110316" 96446
"FY4-5" "A7-110316" 96447
"FY4-5" "A7-110316" 96456
