Culture	Time	TotalArea	Number
R05C06	1321382500.000000	56864.000000	255
R05C06	1321383636.000000	62330.000000	265
R05C06	1321384774.000000	67339.500000	270
R05C06	1321385904.000000	72021.500000	270
R05C06	1321387036.000000	73244.500000	251
R05C06	1321388164.000000	81753.000000	246
R05C06	1321389308.000000	88123.500000	239
R05C06	1321390446.000000	94523.000000	241
R05C06	1321391578.000000	101367.500000	246
R05C06	1321392720.000000	102902.000000	236
R05C06	1321393856.000000	113695.500000	237
R05C06	1321394998.000000	122276.000000	232
R05C06	1321396144.000000	130190.000000	225
R05C06	1321397300.000000	138978.500000	220
R05C06	1321398446.000000	150212.000000	220
R05C06	1321399586.000000	159800.500000	224
R05C06	1321400722.000000	174520.500000	219
R05C06	1321401860.000000	185836.500000	202
R05C06	1321402998.000000	197742.000000	214
R05C06	1321404150.000000	215555.500000	202
R05C06	1321405296.000000	228579.000000	201
R05C06	1321406442.000000	244950.500000	195
R05C06	1321407588.000000	263259.500000	188
R05C06	1321408726.000000	281542.500000	177
R05C06	1321409870.000000	299156.000000	188
R05C06	1321411002.000000	322276.000000	168
R05C06	1321412170.000000	341424.500000	174
R05C06	1321413318.000000	363557.000000	160
R05C06	1321414460.000000	387078.000000	153
R05C06	1321415604.000000	412764.000000	150
R05C06	1321416748.000000	442614.500000	159
R05C06	1321417924.000000	466831.500000	157
R05C06	1321419072.000000	493353.000000	151
R05C06	1321420232.000000	520652.500000	128
R05C06	1321421374.000000	549617.500000	119
R05C06	1321422524.000000	578569.000000	109
R05C06	1321423664.000000	614536.500000	120
R05C06	1321424808.000000	644622.500000	101
R05C06	1321425952.000000	672957.500000	101
R05C06	1321427126.000000	705071.500000	93
R05C06	1321428266.000000	739311.000000	75
R05C06	1321429406.000000	786588.000000	75
R05C06	1321430550.000000	811857.000000	73
R05C06	1321431694.000000	838365.000000	63
R05C06	1321432846.000000	866490.000000	59
R05C06	1321434022.000000	902581.000000	55
R05C06	1321435172.000000	926629.000000	58
R05C06	1321436312.000000	948389.000000	42
R05C06	1321437454.000000	969481.000000	42
R05C06	1321438608.000000	994634.000000	41
R05C06	1321439756.000000	1027759.500000	35
R05C06	1321440918.000000	1046363.000000	28
R05C06	1321442082.000000	1072707.500000	21
R05C06	1321443226.000000	1087851.500000	26
R05C06	1321444376.000000	1100858.000000	20
R05C06	1321445524.000000	1113005.500000	16
R05C06	1321446678.000000	1125799.000000	22
R05C06	1321447836.000000	1137072.500000	18
R05C06	1321449010.000000	1149932.500000	15
R05C06	1321450160.000000	1157347.500000	14
R05C06	1321451308.000000	1166035.000000	11
R05C06	1321452458.000000	1174399.000000	11
R05C06	1321453610.000000	1181091.500000	7
R05C06	1321454762.000000	1392376.000000	1
R05C06	1321455966.000000	1392548.500000	1
R05C06	1321457136.000000	1392476.500000	1
R05C06	1321458308.000000	1392702.500000	1
R05C06	1321459478.000000	1392543.000000	1
R05C06	1321460650.000000	1392565.500000	1
R05C06	1321461822.000000	1392567.000000	1
R05C07	1321349730.000000	7062.000000	132
R05C07	1321350856.000000	7058.000000	135
R05C07	1321351968.000000	7138.000000	134
R05C07	1321353092.000000	7837.000000	119
R05C07	1321354214.000000	8633.000000	117
R05C07	1321355340.000000	7971.000000	126
R05C07	1321356464.000000	8997.500000	123
R05C07	1321357596.000000	9698.500000	120
R05C07	1321358724.000000	11413.000000	110
R05C07	1321359852.000000	11306.500000	129
R05C07	1321360976.000000	10398.500000	126
R05C07	1321362106.000000	11619.500000	126
R05C07	1321363230.000000	13614.500000	124
R05C07	1321364362.000000	12719.000000	122
R05C07	1321365504.000000	15132.500000	121
R05C07	1321366634.000000	16194.000000	109
R05C07	1321367762.000000	17627.000000	121
R05C07	1321368886.000000	19385.500000	122
R05C07	1321370018.000000	20774.500000	119
R05C07	1321371148.000000	19824.000000	123
R05C07	1321372282.000000	23231.500000	126
R05C07	1321373428.000000	25170.500000	119
R05C07	1321374564.000000	27022.000000	117
R05C07	1321375698.000000	29470.500000	126
R05C07	1321376836.000000	32361.000000	121
R05C07	1321377972.000000	33056.000000	137
R05C07	1321379104.000000	36118.500000	120
R05C07	1321380232.000000	40770.500000	111
R05C07	1321381384.000000	42398.000000	122
R05C07	1321382516.000000	46493.000000	111
R05C07	1321383652.000000	51066.000000	118
R05C07	1321384790.000000	56044.500000	119
R05C07	1321385920.000000	61005.500000	118
R05C07	1321387054.000000	67047.500000	119
R05C07	1321388182.000000	72194.500000	106
R05C07	1321389326.000000	75574.000000	110
R05C07	1321390464.000000	85371.000000	106
R05C07	1321391596.000000	92718.500000	109
R05C07	1321392738.000000	101731.500000	109
R05C07	1321393874.000000	110084.500000	103
R05C07	1321395016.000000	120289.000000	100
R05C07	1321396160.000000	130883.000000	100
R05C07	1321397316.000000	141304.500000	103
R05C07	1321398462.000000	154713.000000	99
R05C07	1321399602.000000	166310.500000	98
R05C07	1321400740.000000	181117.000000	96
R05C07	1321401878.000000	199916.000000	96
R05C07	1321403016.000000	216199.500000	90
R05C07	1321404168.000000	232499.000000	89
R05C07	1321405314.000000	255122.500000	81
R05C07	1321406460.000000	270572.500000	87
R05C07	1321407604.000000	294231.000000	77
R05C07	1321408744.000000	322063.500000	74
R05C07	1321409888.000000	344730.500000	76
R05C07	1321411018.000000	370703.000000	70
R05C07	1321412188.000000	398934.500000	72
R05C07	1321413334.000000	431591.500000	62
R05C07	1321414478.000000	455433.000000	61
R05C07	1321415620.000000	490481.500000	61
R05C07	1321416766.000000	524205.500000	57
R05C07	1321417940.000000	562905.500000	48
R05C07	1321419092.000000	596275.500000	46
R05C07	1321420248.000000	631206.000000	41
R05C07	1321421392.000000	665526.500000	36
R05C07	1321422540.000000	700487.000000	38
R05C07	1321423680.000000	737379.500000	33
R05C07	1321424826.000000	866317.500000	31
R05C07	1321425970.000000	890516.000000	28
R05C07	1321427142.000000	914661.500000	27
R05C07	1321428282.000000	937586.500000	19
R05C07	1321429422.000000	962818.500000	22
R05C07	1321430566.000000	990169.000000	21
R05C07	1321431712.000000	1011191.000000	18
R05C07	1321432864.000000	1032269.500000	17
R05C07	1321434038.000000	1055190.000000	16
R05C07	1321435190.000000	1075189.500000	13
R05C07	1321436328.000000	1094427.500000	11
R05C07	1321437472.000000	1110265.000000	13
R05C07	1321438624.000000	1126476.000000	11
R05C07	1321439774.000000	1140884.000000	11
R05C07	1321440936.000000	1197928.500000	8
R05C07	1321442098.000000	1207391.500000	6
R05C07	1321443244.000000	1216500.000000	5
R05C07	1321444392.000000	1224656.000000	7
R05C07	1321445540.000000	1232609.500000	4
R05C07	1321446694.000000	1239313.000000	8
R05C07	1321447854.000000	1245256.000000	5
R05C07	1321449028.000000	1251742.000000	6
R05C07	1321450176.000000	1256848.500000	4
R05C07	1321451326.000000	1261115.500000	5
R05C07	1321452476.000000	1265127.500000	6
R05C07	1321453628.000000	1268913.500000	7
R05C07	1321454780.000000	1392927.000000	1
R05C07	1321455984.000000	1392897.500000	1
R05C07	1321457154.000000	1392902.500000	1
R05C07	1321458326.000000	1392879.000000	1
R05C07	1321459496.000000	1392823.500000	1
R05C07	1321460668.000000	1392864.000000	1
R05C07	1321461840.000000	1392871.500000	1
R05C08	1321349748.000000	9971.500000	234
R05C08	1321350872.000000	9534.500000	217
R05C08	1321351986.000000	9857.000000	221
R05C08	1321353110.000000	10995.000000	218
R05C08	1321354230.000000	10936.000000	214
R05C08	1321355358.000000	11553.000000	206
R05C08	1321356482.000000	12449.500000	211
R05C08	1321357614.000000	12805.500000	215
R05C08	1321358740.000000	12334.000000	229
R05C08	1321359868.000000	12819.000000	223
R05C08	1321360994.000000	11680.000000	221
R05C08	1321362124.000000	15428.000000	200
R05C08	1321363248.000000	15194.500000	216
R05C08	1321364378.000000	16427.000000	212
R05C08	1321365520.000000	17257.000000	215
R05C08	1321366652.000000	19467.000000	208
R05C08	1321367780.000000	20157.500000	219
R05C08	1321368904.000000	21475.000000	220
R05C08	1321370034.000000	21551.500000	216
R05C08	1321371166.000000	24185.500000	218
R05C08	1321372298.000000	25535.000000	214
R05C08	1321373444.000000	27708.500000	214
R05C08	1321374582.000000	29912.500000	218
R05C08	1321375716.000000	32429.500000	206
R05C08	1321376852.000000	34877.500000	205
R05C08	1321377990.000000	34705.000000	213
R05C08	1321379122.000000	40428.000000	190
R05C08	1321380250.000000	43599.500000	203
R05C08	1321381402.000000	44765.000000	212
R05C08	1321382534.000000	49081.000000	198
R05C08	1321383670.000000	53058.000000	187
R05C08	1321384808.000000	58408.500000	196
R05C08	1321385938.000000	62608.000000	182
R05C08	1321387072.000000	65066.500000	192
R05C08	1321388198.000000	72934.500000	191
R05C08	1321389342.000000	78887.000000	190
R05C08	1321390482.000000	85838.000000	183
R05C08	1321391614.000000	92896.000000	185
R05C08	1321392754.000000	96846.500000	196
