"K" "r"
16260.1144652125 0.196518669050877
13049.6663549405 0.214135409559112
14672.0025431573 0.243383095037772
18110.8758810653 0.326793609691896
19009.200840441 0.316637628223441
15911.6329824453 0.28923572725544
17158.2363594036 0.394915085799358
13993.9456952885 0.271085168339293
15373.1902695835 0.284346439265773
11829.2406051535 0.533495468802501
10978.2401724992 0.425932975590155
11388.4409878437 0.378940294831651
11111.7897526126 0.386129932660199
12693.7030160332 0.36225222157358
12420.5823449237 0.414540056554599
14427.4588068948 0.67108434901709
11924.4061489074 0.612235369564073
11351.2166068 0.470946069081201
12029.7585681678 0.30093333137381
9849.27370259006 0.431715599748537
6726.36017041812 0.460085227347937
5859.02589250083 0.350289516941585
6005.98208621084 0.273374954773691
5712.73213840949 0.301479143676725
